category_id,catagory_name,sub-category_id,sub-catagory_name,req_id,req_description,level 1,level 2,level 3,NIST,OWASP_CICD_Risk,cwe_mapping,cwe_description
V1,Plan,V1.1,Identity and Access Management,V1.1.1,Verify that Multi-Factor Authentication (MFA) is enabled for accessing developer laptops and critical systems,,X,,"NIST 800-53: IA-2(1,2,12), IA-5",CICD-SEC-2,CWE-308;CWE-287,Use of Single-Factor Authentication;Improper Authentication - Weak authentication mechanisms
V1,Plan,V1.1,Identity and Access Management,V1.1.2,Verify that all identities (human and programmatic) are managed through a centralized Identity Provider (IdP),,,X,NIST 800-53: AC-2,CICD-SEC-2,CWE-287,Improper Authentication - Inconsistent authentication mechanisms
V1,Plan,V1.1,Identity and Access Management,V1.1.3,Verify all tools in documented software pipeline follow access permisions as it relates to principle of least privilage,,,X,NIST 800-53: AC-6,CICD-SEC-2,CWE-250,Execution with Unnecessary Privileges - Excessive permissions
V1,Plan,V1.1,Identity and Access Management,V1.1.4,Verify that stale identities are disabled or removed after a predetermined period of inactivity,,,X,NIST 800-53: AC-2(3),CICD-SEC-2,CWE-287,Improper Authentication - Failure to manage authentication lifecycle
V1,Plan,V1.1,Identity and Access Management,V1.1.5,Verify service account tokens are reviewed for over-permissioning in both VCS and pipeline tool/secret store,,X,,NIST 800-53: AC-6,CICD-SEC-6,CWE-266(732),CWE-266: Incorrect Privilege Assignment; CWE-732: Incorrect Permission Assignment for Critical Resource;
V1,Plan,V1.1,Identity and Access Management,V1.1.6,Verify Version Control System requires MFA for all users,,X,,"NIST 800-53: IA-2(1,2,12), IA-5",CICD-SEC-2,CWE-308;CWE-287,Use of Single-Factor Authentication;Improper Authentication - VCS access security
V1,Plan,V1.1,Identity and Access Management,V1.1.7,Verify Quarterly audit on Version Control System administrators,,X,,"NIST 800-53: AC-2(7), AU-6",CICD-SEC-10,CWE-223;CWE-778,Omission of Security-relevant Information;Insufficient Logging - Audit trail maintenance
V1,Plan,V1.1,Identity and Access Management,V1.1.8,Verify that secrets are encrypted both at rest and in transit,X,,,"NIST 800-53: SC-12, SC-13",CICD-SEC-6,CWE-319;CWE-312,Cleartext Transmission of Sensitive Information;Cleartext Storage of Sensitive Information - Secrets encryption
V1,Plan,V1.2,Hardening User Machines,V1.2.1,Verify Endpoint Protection is running,X,,,NIST 800-53: SI-3,CICD-SEC-4,CWE-693,Protection Mechanism Failure - Missing protection against system compromise
V1,Plan,V1.2,Hardening User Machines,V1.2.2,Verify Endpoint Protection is set to routinely update,X,,,"NIST 800-53: SI-3, SI-2",CICD-SEC-4(2),CWE-1104,Use of Unmaintained Third Party Components - Failure to maintain security tools
V1,Plan,V1.2,Hardening User Machines,V1.2.3,Verify Full Disk encryption is setup and enabled on developer laptops,X,,,"NIST 800-53: SC-28, SC-12",CICD-SEC-4,CWE-311,Missing Encryption of Sensitive Data - Lack of data protection at rest
V1,Plan,V1.2,Hardening User Machines,V1.2.4,Verify Patch Management is setup and enabled on developer laptops,X,,,"NIST 800-53: SI-2, CM-3",CICD-SEC-4,CWE-1104/937,Use of Unmaintained Third Party Components - Failure to maintain system security
V1,Plan,V1.2,Hardening User Machines,V1.2.5,Verify that developer machines are configured to lock automatically after a period of inactivity,,,X,NIST 800-53: AC-11,CICD-SEC-4,CWE-613,Insufficient Session Expiration - Failure to terminate inactive sessions
V1,Plan,V1.2,Hardening User Machines,V1.2.6,Verify that the applicable controls from the relevant CIS Benchmark for OS hardening are in place.,,,X,NIST 800-53: CM-2,CICD-SEC-4,CWE-16,Umbrella weakness category for “Configuration” issues.
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.1,Verify a documented software pipeline exists,X,,,NIST 800-53: PL1,CICD-SEC-4,CWE-1053,Missing Documentation for Design
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.2,Verify established Secure Development policy covers at minimum OWASP Top 10 pipeline Security Risks,X,,,NIST 800-53: SA-15,CICD-SEC-7,CWE-756,Missing Custom Error Page - Inadequate security documentation and guidance
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.3,Verify established Secure OSS policy,,X,,NIST 800-53: SA-12,CICD-SEC-3,CWE-1104,Use of Unmaintained Third Party Components - Lack of third-party software management
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.4,Verify established Security Policy related to Secrets/Credentials ,X,,,NIST 800-53: AC-1,CICD-SEC-6,"CWE-308 (287, 798, 522)",CWE-308: Use of Single-Factor Authentication; CWE-287: Improper Authentication; CWE-798: Use of Hard-coded Credentials; CWE-522: Insufficiently Protected Credentials
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.5,"Verify developer have reviewed Secure Development policy, specifically as it pertains to OWASP Top 10 pipeline Security Risks",X,,,NIST 800-53: AT-2,CICD-SEC-7,CWE-756,Missing Custom Error Page - Inadequate security documentation and guidance
V1,Plan,V1.4,Developer Tool Operation,V1.4.1,Verify a company approved IDE/code writing tool is used and up-to-date,X,,,NIST 800-53: CM-7,CICD-SEC-4,CWE-1104,Use of Unmaintained Third Party Components - Outdated development tools
V1,Plan,V1.4,Developer Tool Operation,V1.4.2,Verify IDE/code writing tool Plugin/s meet company policy and are approved,X,,,NIST 800-53: CM-7(5),CICD-SEC-4,CWE-1195,Manufacturing or Development Artifact in Released Binary - Unapproved development components
V1,Plan,V1.4,Developer Tool Operation,V1.4.3,Verify developer IDE/code writing tool plugins are routinely update,X,,,NIST 800-53: CM-7(6),CICD-SEC-4,CWE-1104,Use of Unmaintained Third Party Components - Outdated development plugins
V1,Plan,V1.4,Developer Tool Operation,V1.4.4,Verify that developer tools are configured to use secure communication protocols (e.g. HTTPS),,X,,NIST 800-53: SC-13,CICD-SEC-7,CWE-319,Cleartext Transmission of Sensitive Information - Insecure communication channels
V1,Plan,V1.4,Developer Tool Operation,V1.4.5,Verify that developer tools are monitored for unauthorized changes or usage,,X,,NIST 800-53: SI-4,CICD-SEC-10,CWE-693,Protection Mechanism Failure - Lack of monitoring for security controls
V1,Plan,V1.5,Source Code Management Hardening,V1.5.1,Verify a Version Control System is used that implements RBAC,X,,,"NIST 800-53: AC-2, AC-3 , AC-6",CICD-SEC-1,CWE-284;CWE-291,Improper Access Control;Reliance on IP Address for Authentication - Lack of source code access controls
V1,Plan,V1.5,Source Code Management Hardening,V1.5.2,Verify a .gitignore file is present to prevent commit of possible sensitive data or files,X,,,"NIST 800-53: SC-28, SI-19",CICD-SEC-6,CWE-200;CWE-312,Exposure of Sensitive Information;Cleartext Storage of Sensitive Information - Preventing sensitive data exposure
V1,Plan,V1.5,Source Code Management Hardening,V1.5.3,Verify Version Control System enforces branch schema to help with tracking vulnerability remediation,,,X,"NIST 800-53: CM-3, RA-5",CICD-SEC-1,CWE-284,Improper Access Control - Branch protection and workflow enforcement
-,-,-,-,-,-,-,-,-,-,-,-,-
V2,Develop,V2.1,Secure Coding Practices,V21.1.1,Verify secure coding OSS policy enforcement as it pertains to pipelines,X,,,NIST 800-53: SA-15,CICD-SEC-3,CWE-1104;CWE-1333,Use of Unmaintained Third Party Components;Inefficient Regular Expression Complexity - OSS security
V2,Develop,V2.2,Software Quality,V2.2.1,Verify monthly Linting scans are conducted,X,,,NIST 800-53: RA-5,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Code quality checks
V2,Develop,V2.2,Software Quality,V2.2.2,Verify monthly Linting scan detections are remediated,X,,,NIST 800-53: SI-2,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Code quality remediation
V2,Develop,V2.2,Software Quality,V2.2.3,Verify monthly Style scans are conducted,X,,,NIST 800-53: RA-5,CICD-SEC-4,CWE-398,Indicator of Poor Code Quality - Style consistency
V2,Develop,V2.2,Software Quality,V2.2.4,Verify monthly Style scan detections are remediated,X,,,NIST 800-53: SI-2,CICD-SEC-4,CWE-398,Indicator of Poor Code Quality - Style remediation
V2,Develop,V2.2,Software Quality,V2.2.5,Verify that unit tests cover security-related code paths,,X,,NIST 800-53: SA-11,CICD-SEC-4,CWE-1041;CWE-358,Use of Redundant Code;Improperly Implemented Security Check - Security testing coverage
V2,Develop,V2.2,Software Quality,V2.2.6,Verify that code quality tools are configured to flag insecure coding patterns,X,,,NIST 800-53: SA-15,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Automated code analysis
V2,Develop,V2.3,Code Review and Analysis,V2.3.1,"Verify code review policy to ensure that commits requires a security code review. 
- Consider cases where reviews by more than 1 person is required.",,,X,NIST 800-53: CM-3,CICD-SEC-1,CWE-1053;CWE-702,Missing Documentation for Design;Insufficient Encapsulation - Code review process
V2,Develop,V2.3,Code Review and Analysis,V2.3.2,Verify code reviews are conducted where required as per security code review policy,,,X,NIST 800-53: CM-4,CICD-SEC-1,CWE-1053;CWE-702,Missing Documentation for Design;Insufficient Encapsulation - Code review implementation
V2,Develop,V2.4,Perform Security Checks,V2.4.1,Verify first party code security tool conducting monthly security scans on production repositories,,X,,NIST 800-53: RA-5,CICD-SEC-1,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.2,Verify first party code security tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-1,CWE-1104,Use of Unmaintained Third Party Components - Security tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.3,Verify first party code security tool is updated monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-1,CWE-1104,Use of Unmaintained Third Party Components - Security tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.4,Verify 3rd party code security tool conducting monthly scans on production repositories,,X,,NIST 800-53: SA-11,CICD-SEC-8,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Third party security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.5,Verify 3rd party code security tool is on the latest version,,X,,NIST 800-53: SA-15,CICD-SEC-8,CWE-1104,Use of Unmaintained Third Party Components - Third party tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.6,Verify 3rd party code security tool is updated at least monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-8,CWE-1104,Use of Unmaintained Third Party Components - Third party tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.7,Verify Secrets Detection tool conducting monthly scans on critical repositories ,,X,,NIST 800-53: SI-12,CICD-SEC-6,CWE-798;CWE-312,Use of Hard-coded Credentials;Cleartext Storage of Sensitive Information - Secrets detection
V2,Develop,V2.4,Perform Security Checks,V2.4.8,Verify Secrets Detection tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.9,Verify Secrets Detection tool is consistently updated when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.10,Verify security Infrastructure as Code (IaC) tool conducting monthly scans on production repositories,,X,,NIST 800-53: CA-7,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.11,Verify security Infrastructure as Code (IaC) tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - IaC tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.12,Verify security Infrastructure as Code (IaC) tool is updated at least monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - IaC tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.13,Verify that Infrastructure as Code (IaC) tools are configured to enforce security policies,,X,,NIST 800-53: CM-6,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security enforcement
V2,Develop,V2.4,Perform Security Checks,V2.4.14,Verify that third-party libraries are regularly scanned for known vulnerabilities,,X,,NIST 800-53: SA-11,CICD-SEC-3,CWE-1104;CWE-937,Use of Unmaintained Third Party Components;OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities - Dependency scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.15,Verify that third-party libraries are updated promptly when security patches are released,,X,,NIST 800-53: SI-2,CICD-SEC-3,CWE-1104;CWE-937,Use of Unmaintained Third Party Components;OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities - Dependency updates
V2,Develop,V2.4,Perform Security Checks,V2.4.16,Verify that security Pre-Commit scans take place to detect security related issues before being commited,,,,NIST 800-53: SA-15,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Pre-commit security checks
V2,Develop,V2.5,Credential Hygiene,V2.7.1,Verify that credentials are not hardcoded in code repositories or pipeline configuration files,,X,,NIST 800-53: AC-12,CICD-SEC-6,CWE-798;CWE-259,Use of Hard-coded Credentials;Use of Hard-coded Password - Credential management
V2,Develop,V2.6,3rd Party library Audit,V2.8.1,Verify that all dependencies are fetched from trusted sources and verified against known hashes,,,X,NIST 800-53: SA-12,CICD-SEC-3,CWE-345;CWE-829,Insufficient Verification of Data Authenticity;Inclusion of Functionality from Untrusted Control Sphere - Dependency integrity
V2,Develop,V2.6,3rd Party library Audit,V2.8.2,Verify that dependency versions are pinned to avoid dependency confusion attacks,,,X,NIST 800-53: SA-15,CICD-SEC-3,CWE-1104;CWE-829,Use of Unmaintained Third Party Components;Inclusion of Functionality from Untrusted Control Sphere - Dependency pinning
V2,Develop,V2.7,Unit Testing,V2.9.1,Verify that security unit tests are used as part of the development process.,,X,,NIST 800-53: SA-11,CICD-SEC-4,CWE-358;CWE-1041,Improperly Implemented Security Check;Use of Redundant Code - Security testing implementation
V2,Develop,V2.7,Unit Testing,V2.9.2,Verify that unit tests are automated and run on every code change,,X,,NIST 800-53: SA-15,CICD-SEC-4,CWE-358;CWE-1041,Improperly Implemented Security Check;Use of Redundant Code - Automated security testing
-,-,-,-,-,-,-,-,-,-,-,-,-
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.1,Verify that build servers are hardened and regularly patched,X,,,NIST 800-53: SI-2,CICD-SEC-2,CWE-1104;CWE-16,Use of Unmaintained Third Party Components;Configuration - Build server security
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.2,Verify that access to build servers is restricted to authorized personnel only,,X,,NIST 800-53: AC-6,CICD-SEC-10,CWE-284;CWE-269,Improper Access Control;Improper Privilege Management - Build server access control
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.3,Verify that build servers are monitored for unauthorized access attempts,,X,,NIST 800-53: SI-4,CICD-SEC-2,CWE-778;CWE-223,Insufficient Logging;Omission of Security-relevant Information - Build server monitoring
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.4,Verify that build systems are hardened according to the guidlines for the specific platform or industry guidlines where available.,,,,NIST 800-53: CM-6,CICD-SEC-7,CWE-1008;CWE-16,Architectural Concepts;Configuration - Build system hardening
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.5,Verify that build systems are regularly reviewed for security misconfigurations,,,X,NIST 800-53: CA-7,CICD-SEC-4,CWE-16;CWE-669,Configuration;Incorrect Resource Transfer Between Spheres - Build system configuration
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.1,Verify there are no hardcoded secrets used during pipeline execution instead using secure pipeline enviroment variables,X,,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.2,"Verify that the pipeline uses built-in credential management or a secrets manager, rather than hard-coding credentials.",X,,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.3,Verify only authorized users can view pipeline used secrets,X,,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.4,Verify secrets are hidden and not exposed in pipeline logging files,X,,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.5,Verify secrets are only used for integeration and not used in production or other stages,,X,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.6,Verify secret rotation is implimented and secrets rotated as it complys with secrets policy,,X,,NIST 800-53: SC-12,CICD-SEC-6,CWE-798;CWE-522,Use of Hard-coded Credentials;Insufficiently Protected Credentials - Secrets management
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.1,Verify first party code security tool conducting monthly security scans on production repositories,X,,,NIST 800-53: SI-2,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security scanning
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.2,Verify first party code security tool is on the latest version,X,,,NIST 800-53: AC-6,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - IaC tool maintenance
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.3,Verify first party code security tool is updated monthly when scanning,X,,,NIST 800-53: SI-2,CICD-SEC-8,CWE-1104,Use of Unmaintained Third Party Components - IaC tool updates
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.4,Verify 3rd party code/Open Source Software security tool conducting monthly scans on production reposorites,X,,,NIST 800-53: SA-11,CICD-SEC-8,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security enforcement
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.5,Verify 3rd party code/Open Source Software security tool is on the latest version,X,,,NIST 800-53: SA-15,CICD-SEC-8,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Security scanning
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.6,Verify 3rd party code/Open Source Software security tool is updated at least monthly when scanning,X,,,NIST 800-53: CM-7,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Security tool maintenance
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.7,Verify Secrets Detection tool conducting monthly scans on critical repositories ,X,,,NIST 800-53: SI-12,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Security tool updates
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.8,Verify Secrets Detection tool is on the latest version,X,,,NIST 800-53: SI-2,CICD-SEC-6,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Third party security scanning
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.9,Verify Secrets Detection tool is consistently updated when scanning,X,,,NIST 800-53: CM-7,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - Third party tool maintenance
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.10,Verify security Infrastructure as Code (IaC) tool conducting monthly scans on production repositories,X,,,NIST 800-53: CA-7,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - Third party tool updates
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.11,Verify security Infrastructure as Code (IaC) tool is on the latest version,X,,,NIST 800-53: SI-2,CICD-SEC-7,CWE-798;CWE-312,Use of Hard-coded Credentials;Cleartext Storage of Sensitive Information - Secrets detection
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.12,Verify security Infrastructure as Code (IaC) tool is updated at least monthly when scanning,X,,,NIST 800-53: CM-7,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool maintenance
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.13,Verify that Infrastructure as Code (IaC) tools are configured to enforce security policies,X,,,NIST 800-53: CM-6,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool updates
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.14,Verify that dynamic security testing tool/s are used to scan running applications,X,,,NIST 800-53: RA-5,CICD-SEC-4,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Dynamic security testing
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.15,Verify that automated security scans are run during the integration of new code,,X,,NIST 800-53: SI-4,CICD-SEC-4,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Integration security scanning
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.16,Verify that integration tests include security test cases to detect vulnerabilities early,,X,,NIST 800-53: SA-11,CICD-SEC-4,CWE-358;CWE-1041,Improperly Implemented Security Check;Use of Redundant Code - Security test integration
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.17,Verify that security testing and evaluation are integrated into the CI process,,X,,NIST 800-53: SA-11,CICD-SEC-1,CWE-358;CWE-1041,Improperly Implemented Security Check;Use of Redundant Code - CI security testing
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.18,Verify that branch protection rules are enforced on all repositories,,,X,NIST 800-53: AC-3,CICD-SEC-1,CWE-284;CWE-732,Improper Access Control;Incorrect Permission Assignment for Critical Resource - Branch protection
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.19,Verify that auto-merge rules are restricted and reviewed for security implications,,,X,NIST 800-53: AC-6,CICD-SEC-1,CWE-284;CWE-732,Improper Access Control;Incorrect Permission Assignment for Critical Resource - Merge control
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.20,Verify that pipelines require manual approval for sensitive operations,,,X,NIST 800-53: AC-3,CICD-SEC-4,CWE-284;CWE-732,Improper Access Control;Incorrect Permission Assignment for Critical Resource - Pipeline approval
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.1,Verify that build artifacts are cryptographically signed,,,X,NIST 800-53: SC-12,CICD-SEC-9,CWE-347;CWE-353,Improper Verification of Cryptographic Signature;Missing Support for Integrity Check - Artifact signing
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.2,Verify that checksums are used to validate the integrity of build artifacts before deployment,,,X,NIST 800-53: SC-17,CICD-SEC-7,CWE-345;CWE-354,Insufficient Verification of Data Authenticity;Improper Validation of Integrity Check Value - Artifact integrity
-,-,-,-,-,-,-,-,-,-,-,-,-
V4,Release (CD*),V4.1,Final Security Assessments,V4.1.1,Verify that comprehensive security assessments have taken place on the release candidate aligned with security policy,X,,,NIST 800-53: CA-2,CICD-SEC-10,CWE-1069;CWE-710,Empty Exception Block;Improper Adherence to Coding Standards - Release security assessment
V4,Release (CD*),V4.2,Compliance Checks,V4.2.1,"Verify that pipeline-related policies are formally documented, maintained as compliance artifacts, and reviewed periodically for accuracy and relevance.",X,,,NIST 800-53: CA-7,CICD-SEC-1,CWE-1059;CWE-1053,Incomplete Documentation;Missing Documentation for Design - Compliance documentation
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.1,Verify that automated deployment scripts are used to minimize human error,X,,,NIST 800-53: CM-3,CICD-SEC-1,CWE-1076;CWE-636,Insufficient Adherence to Expected Conventions;Not Failing Securely - Deployment automation
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.2,Verify that deployment scripts are reviewed for security vulnerabilities and adhere to change control best practices and company policy.,,X,,NIST 800-53: CM-5,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Deployment script review
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.3,Verify that secure transfer protocols are used during deployment,,X,,NIST 800-53: SC-12,CICD-SEC-6,CWE-319;CWE-300,Cleartext Transmission of Sensitive Information;Channel Accessible by Non-Endpoint - Secure deployment transfer
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.4,"Verify that configuration information is secured in production using a secrets manager (e.g., Vault, AWS Secrets Manager). If encrypted config files are used instead, ensure encryption keys are stored separately in a secure service (e.g., KMS, HSM).",,X,,NIST 800-53: SC-13,CICD-SEC-5,CWE-311;CWE-312,Missing Encryption of Sensitive Data;Cleartext Storage of Sensitive Information - Configuration protection
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.5,Verify that production environments are isolated from development and testing environments,,X,,NIST 800-53: SC-3,CICD-SEC-9,CWE-1008;CWE-669,Architectural Concepts;Incorrect Resource Transfer Between Spheres - Environment isolation
V4,Release (CD*),V4.3,Secure Deployment Practices,V4.3.6,Verify that deployment scripts include checks for unauthorized changes before execution,,X,,NIST 800-53: CM-6,CICD-SEC-7,CWE-345;CWE-354,Insufficient Verification of Data Authenticity;Improper Validation of Integrity Check Value - Deployment integrity
-,-,-,-,-,-,-,-,-,-,-,-,-
V5,Operate,V5.1,Access Audit,V5.1.1,Verify that regular audits are conducted on users,,X,,NIST 800-53: AU-6,CICD-SEC-10,CWE-778;CWE-223,Insufficient Logging; Omission of Security-relevant Information - User audit trails
V5,Operate,V5.1,Access Audit,V5.1.2,Verify that access logs are maintained and reviewed periodically,,X,,NIST 800-53: AU-6,CICD-SEC-9,CWE-778;CWE-223,Insufficient Logging;Omission of Security-relevant Information - Access log review
V5,Operate,V5.1,Access Audit,V5.1.3,Verify that privileged access management is implemented and monitored,,X,,NIST 800-53: AC-6,CICD-SEC-10,CWE-269;CWE-284,Improper Privilege Management;Improper Access Control - Privileged access control
V5,Operate,V5.2,Security Standard Enforcement,V5.2.1,Verify that security policies and standards are continuously enforced in the production environment,,,X,NIST 800-53: PM-1,CICD-SEC-7,CWE-1008;CWE-710,Architectural Concepts;Improper Adherence to Coding Standards - Production security enforcement
V5,Operate,V5.2,Security Standard Enforcement,V5.2.2,Verify that operational practices are regularly reviewed to ensure they do not compromise security,,,X,NIST 800-53: CA-7,CICD-SEC-7,CWE-1008;CWE-710,Architectural Concepts;Improper Adherence to Coding Standards - Operational security review
V5,Operate,V5.3,Secure Maintenance Practices,V5.3.1,Verify that patches and updates are applied in a timely manner,X,,,NIST 800-53: SI-2,CICD-SEC-2,CWE-1104,Use of Unmaintained Third Party Components - Patch management
V5,Operate,V5.4,Detection & Monitoring,V5.4.1,Verify that real-time monitoring tools generate pipeline security logs and detect anomalies.,,X,,NIST 800-53: SI-4,CICD-SEC-10,CWE-778;CWE-223,Insufficient Logging;Omission of Security-relevant Information - Pipeline monitoring
V5,Operate,V5.4,Detection & Monitoring,V5.4.2,Verify that pipeline security logs are routinely reviewed and analyzed for anomalies not automatically detected.,,X,,NIST 800-53: SI-4,CICD-SEC-10,CWE-778;CWE-223,Insufficient Logging;Omission of Security-relevant Information - Pipeline activity logging
V5,Operate,V5.4,Detection & Monitoring,V5.4.3,Verify that pipeline security alerts are reviewed and responded to in a timely manner.,,X,,NIST 800-53: IR-8,CICD-SEC-10,CWE-778;CWE-390,Insufficient Logging;Detection of Error Condition Without Action - Alert response
V5,Operate,V5.5,Incident Response & Recovery,V5.5.1,"Verify that incident response plans are developed, maintained, and include procedures specific to pipeline security incidents.",,X,,NIST 800-53: IR-8,CICD-SEC-10,CWE-390;CWE-778,Detection of Error Condition Without Action;Insufficient Logging - Incident response planning
V5,Operate,V5.5,Incident Response & Recovery,V5.5.2,Verify that incident response plans are tested regularly to ensure effectiveness,,,X,NIST 800-53: IR-3,CICD-SEC-10,CWE-390;CWE-778,Detection of Error Condition Without Action;Insufficient Logging - Incident response testing
V5,Operate,V5.5,Incident Response & Recovery,V5.5.3,Verify that recovery procedures are tested and effective in minimizing downtime for pipelines,,,X,NIST 800-53: CP-2,CICD-SEC-4,CWE-390;CWE-636,Detection of Error Condition Without Action;Not Failing Securely - Recovery procedures